,Rank,Song[A],Streams(billions),Artist(s),Release date,Ref(s)
77,78,"""Mood""",1.610,24kGoldn and Iann Dior,24 July 2020,[110]
78,79,"""Unforgettable""",1.595,French Montana featuring Swae Lee,7 April 2017,[111][34]
79,80,"""Despacito (Remix)""",1.593,Luis Fonsi and Daddy Yankee featuring Justin Bieber,17 April 2017,[112][113]
80,81,"""Do I Wanna Know?""",1.589,Arctic Monkeys,19 June 2013,[114][115]
81,82,"""Dynamite""",1.582,BTS,21 August 2020,[116][117]
82,83,"""Moonlight""",1.580,XXXTentacion,16 March 2018,[44]
83,84,"""Wonderwall""",1.568,Oasis,30 October 1995,[118][119]
84,85,"""The Box""",1.568,Roddy Ricch,6 December 2019,[120][121]
85,86,"""That's What I Like""",1.562,Bruno Mars,18 November 2016,[122][123]
86,87,"""'Till I Collapse""",1.548,Eminem featuring Nate Dogg,26 May 2002,[124][103]
87,88,"""There's Nothing Holdin' Me Back""",1.546,Shawn Mendes,20 April 2017,[125][23]
88,89,"""No Role Modelz""",1.545,J. Cole,4 August 2014,[126][127]
89,90,"""Cheap Thrills""",1.538,Sia,29 January 2016,[128][129]
90,91,"""Stitches""",1.534,Shawn Mendes,14 April 2015,[130][23]
91,92,"""See You Again""",1.521,Wiz Khalifa featuring Charlie Puth,10 March 2015,[131][132]
92,93,"""Smells Like Teen Spirit""",1.520,Nirvana,10 September 1991,[133][134]
93,94,"""I Like Me Better""",1.513,Lauv,19 May 2017,[135][136]
94,95,"""7 Years""",1.512,Lukas Graham,16 June 2015,[137][138]
95,96,"""I'm Yours""",1.511,Jason Mraz,12 February 2008,[139][140]
96,97,"""Despacito""",1.506,Luis Fonsi featuring Daddy Yankee,12 January 2017,[141][113]
97,98,"""Sugar""",1.502,Maroon 5,29 August 2014,[142][143]
98,99,"""Girls Like You""",1.502,Maroon 5 featuring Cardi B[B],30 May 2018,[144]
99,100,"""Don't Stop Me Now""",1.493,Queen,26 January 1979,[145][146]
100,As of 01 February 2023,As of 01 February 2023,As of 01 February 2023,As of 01 February 2023,As of 01 February 2023,
