Rank,Song[A],Streams(billions),Artist(s),Release date,Ref(s)
81,"""Do I Wanna Know?""",1.581,Arctic Monkeys,19 June 2013,[114][115]
82,"""Dynamite""",1.577,BTS,21 August 2020,[116][117]
83,"""Moonlight""",1.576,XXXTentacion,16 March 2018,[43]
84,"""The Box""",1.564,Roddy Ricch,6 December 2019,[118][119]
85,"""Wonderwall""",1.563,Oasis,30 October 1995,[120][121]
86,"""That's What I Like""",1.557,Bruno Mars,18 November 2016,[122][123]
87,"""'Till I Collapse""",1.542,Eminem featuring Nate Dogg,26 May 2002,[124][103]
88,"""There's Nothing Holdin' Me Back""",1.540,Shawn Mendes,20 April 2017,[125][23]
89,"""No Role Modelz""",1.536,J. Cole,4 August 2014,[126][127]
90,"""Cheap Thrills""",1.535,Sia,29 January 2016,[128][129]
91,"""Stitches""",1.530,Shawn Mendes,14 April 2015,[130][23]
92,"""See You Again""",1.517,Wiz Khalifa featuring Charlie Puth,10 March 2015,[131][132]
93,"""Smells Like Teen Spirit""",1.514,Nirvana,10 September 1991,[133][134]
94,"""I Like Me Better""",1.510,Lauv,19 May 2017,[135][136]
95,"""7 Years""",1.508,Lukas Graham,16 June 2015,[137][138]
96,"""I'm Yours""",1.507,Jason Mraz,12 February 2008,[139][140]
97,"""Despacito""",1.503,Luis Fonsi featuring Daddy Yankee,12 January 2017,[141][112]
98,"""Girls Like You""",1.500,Maroon 5 featuring Cardi B[B],30 May 2018,[142]
99,"""Sugar""",1.498,Maroon 5,29 August 2014,[143][144]
100,"""Youngblood""",1.489,5 Seconds of Summer,12 April 2018,[145][146]
As of 25 January 2023,As of 25 January 2023,As of 25 January 2023,As of 25 January 2023,As of 25 January 2023,
